freq,amp_thresh,goer_thresh,acc,precision,recall,f1,specificity,tp,tn,fp,fn
57064.492447463876,0.0003092562653904612,7.75652095114781e-06,0.515,0.515,1.0,0.6798679867986799,0.0,515,0,485,0
58574.43087480732,0.00047878055083140625,7.063432342233114e-06,0.498,0.4974974974974975,1.0,0.6644385026737968,0.0019880715705370166,497,1,502,0
55765.25095122106,0.000742909320212148,6.117900104773964e-06,0.498,0.4969939879759519,1.0,0.6639892904953146,0.003968253968175233,496,2,502,0
53682.22338607392,0.0010273359830542251,5.070336883083556e-06,0.475,0.47342026078234706,1.0,0.6426140231449966,0.005681818181710572,472,3,525,0
51282.164335551046,0.0015416160626989736,9.046301748769439e-06,0.484,0.48348348348348347,1.0,0.6518218623481782,0.0019342359767517555,483,1,516,0
55599.95242322829,0.0005999514200533857,7.775198554373495e-06,0.484,0.48088531187122735,1.0,0.6494565217391305,0.011494252873343021,478,6,516,0
58826.471993296516,0.00038022899431421466,7.757106542228226e-06,0.527,0.5255767301905717,1.0,0.6890203813280736,0.006302521008270955,524,3,473,0
31564.144391697442,0.0003828396787482841,7.987877118091706e-06,0.494,0.494,1.0,0.6613119143239625,0.0,494,0,506,0
55451.81976394358,0.0003159204055918054,6.997522481120451e-06,0.502,0.501002004008016,1.0,0.6675567423230975,0.00399999999992,500,2,498,0
59763.10604627334,0.0005772253755381848,4.536573349464935e-06,0.503,0.5025025025025025,1.0,0.6688874083944037,0.002008032128473734,502,1,497,0
56917.55860564857,0.0002910595286608298,5.495952879312411e-06,0.481,0.4789156626506024,1.0,0.6476578411405295,0.007648183556259117,477,4,519,0
57018.63366635434,0.0002581727621855908,3.502312051323684e-06,0.504,0.504,1.0,0.6702127659574468,0.0,504,0,496,0
58728.529584296746,0.00023227039487855184,5.772443946580384e-06,0.506,0.5050100200400801,1.0,0.6711051930758988,0.004032258064434834,504,2,494,0
55592.03263026543,0.0003773373155705334,7.498788731812372e-06,0.486,0.4844533600802407,1.0,0.6527027027027027,0.005802707930255267,483,3,514,0
52470.06087651107,0.0002791724366395601,8.753895114336945e-06,0.515,0.5140280561122245,1.0,0.6790205162144275,0.004106776180613824,513,2,485,0
56451.97661176695,0.0004349268870265947,6.525863349483082e-06,0.472,0.4704112337011033,1.0,0.6398362892223738,0.005649717514017896,469,3,528,0
57362.27657276971,0.0005327251398190068,5.181857383821988e-06,0.498,0.4974974974974975,1.0,0.6644385026737968,0.0019880715705370166,497,1,502,0
59044.18048937083,0.00035189761763096975,7.296805306104355e-07,0.506,0.5055055055055055,1.0,0.6715425531914894,0.002020202020161208,505,1,494,0
35028.14133873881,0.00022592157545902217,4.103005751232915e-06,0.475,0.475,1.0,0.6440677966101694,0.0,475,0,525,0
53694.75938015786,0.00047071647390085615,8.146972937327564e-06,0.482,0.48096192384769537,1.0,0.6495263870094723,0.0038461538460798817,480,2,518,0
51243.0438695335,0.0008319141642397778,9.19256339353221e-06,0.463,0.463,1.0,0.632946001367054,0.0,463,0,537,0
55077.97156301855,0.00028672235360361654,5.991190763123848e-06,0.509,0.5080160320641283,1.0,0.6737541528239203,0.004056795131763553,507,2,491,0
57589.903535618265,0.0006523137395487486,9.981925460035732e-06,0.474,0.4718875502008032,1.0,0.6412005457025921,0.007547169811178355,470,4,526,0
